title,blog_url,affiliate_link,mood_text
驪妃,https://poupe.hatenadiary.jp/search?q=%6A%83,https://www.amazon.co.jp/%E9%A9%AA%E5%A6%83%EF%BC%88%E3%82%8A%E3%81%B2%EF%BC%89-The-Song-of-Glory-%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89/dp/B0FR2VCZ7T?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=14KVBI1CIKGI3&dib=eyJ2IjoiMSJ9.JDtHH2rYGO6g1MPVwf0_aOOv5ZrkDsdnRdKjCt4kszBLMyu0zHNLOyPXQIZyaKwvbGp-ipfKFI4Qj8KE2l0O_3ZbLhpyeoRoMYheVYRKEf7YIh7KyuEca4JBTwb8ApFBZfEIiCf_QAeQh2cM1MjhvpXVC4H5uRZRmqbYPKVafp6IGaeKlprfX_CcqY5rv4ETXDuCkeIvc85aHm25Hw-czhIFIfs_SxmoMQsHC2xH-GNpRZY2xQrRXVSrwDKa7hkiyxa-MW9B4n8WBm4uubzDN59WJFnLBfuKdV_jG4hGn3c.qbvoAluVDEIGAleIJ1ZV9EJ5H6IZHbhP9YmDXHjsb6M&dib_tag=se&keywords=%E9%A9%AA%E5%A6%83&qid=1765528308&sprefix=%E9%A9%AA%E5%A6%83%2Caps%2C201&sr=8-1&linkCode=ll2&tag=poupe-22&linkId=a5d6b75d0b12e51473aba3f621a45bbb&language=ja_JP&ref_=as_li_ss_tl,"復讐, 仲間, 俳優, 宮廷, 時代劇"
扶揺,https://poupe.hatenadiary.jp/search?q=%76%FA,https://www.amazon.co.jp/gp/video/detail/B0D6V53TQ1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0D6V83XDZ&qid=1765528326724&linkCode=ll2&tag=poupe-22&linkId=13359d0c57afe35af5129b6458fa89e8&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, 宮廷, 復讐, 仲間, 秘密, 泣ける, 俳優"
如意芳霏,https://poupe.hatenadiary.jp/search?q=%82%0F%B3%0F,https://www.amazon.co.jp/gp/video/detail/B0B8SDFXN3?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B8SCVDSH&qid=1765528352304&linkCode=ll2&tag=poupe-22&linkId=7657f05d634fb3f99a598b12c49331ed&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, ラブコメ, 秘密, 俳優, 中国ドラマ, 華流"
この結婚は社内秘で,https://poupe.hatenadiary.jp/search?q=%53%6E%50%5A%6F%3E%85%D8%67,https://www.amazon.co.jp/gp/video/detail/B0FLDKW3H2?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0FLDMCJQ4&qid=1765528368322&linkCode=ll2&tag=poupe-22&linkId=4d6cf81df621bd424c87bed3bbd34c8a&language=ja_JP&ref_=as_li_ss_tl,"ラブストーリー, 契約結婚, 秘密, 甘い, ドキドキ, イケメン, 俳優"
女神様の縁結び,https://poupe.hatenadiary.jp/search?q=%73%5E%D8%6E%01%50%73,https://www.amazon.co.jp/gp/video/detail/B0CTN2KTD3?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0CTN3JWB4&qid=1765528381099&linkCode=ll2&tag=poupe-22&linkId=a7b405786105fa6d25df11ddb91313ef&language=ja_JP&ref_=as_li_ss_tl,"ラブコメ, 秘密, 俳優, 中国ドラマ, 華流"
光・淵,https://poupe.hatenadiary.jp/search?q=%49%FB%F5,https://www.amazon.co.jp/gp/video/detail/B0FD2KN1YR?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0FD2PLQWJ&qid=1765528398105&linkCode=ll2&tag=poupe-22&linkId=8224e9a53974dc7e17d27fcb634a8d07&language=ja_JP&ref_=as_li_ss_tl,"サスペンス, ミステリー, 復讐, 仲間, 俳優"
不眠日 -メビウス-,https://poupe.hatenadiary.jp/search?q=%0D%20%E5%20-%E1%D3%A6%B9-,,"仲間, 泣ける, 俳優, 中国ドラマ, 華流"
子夜帰,https://poupe.hatenadiary.jp/search?q=%50%1C%30,,"ファンタジー, 復讐, 秘密, コメディ, 俳優"
孤高の花,https://poupe.hatenadiary.jp/search?q=%64%D8%6E%B1,https://www.amazon.co.jp/%E5%AD%A4%E9%AB%98%E3%81%AE%E8%8A%B1%EF%BD%9EGeneral%EF%BC%86I%EF%BD%9E%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89/dp/B0FJNRX1Q7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2V2EPHRCLV3PS&dib=eyJ2IjoiMSJ9.IsfKp-OfybAOYkq0tgudmK7Xibx8p6W1r9je2A6aW29cm3MFP35bdc5ixo4VXheQu4_XmIwP6KkQBNONW72Ik86mr2YSIt7lVl05PckbTPKmnW-QFZmSTe0GDR8if_6CJFehNoxX7dQN9Mk1lfaGPQKr8u59GEh9GWvs746oGyqKFfZGYt-j7W7Hrxq7UkcRba9mj5_ZuuC5bR6WRzcBYpv72FVKFWblJWt82D6gthNrrMP8x3RgsfyxxaQbkaL_c7UZ-Mn5TOMaX8DApqNR4KuOELpm8FaYVo0zr63JCk4.gr9ArMSC1lAGJuvRxtpVwMpabV2A1EtrIPLYpigvwcg&dib_tag=se&keywords=%E5%AD%A4%E9%AB%98%E3%81%AE%E8%8A%B1&qid=1765528472&sprefix=%E5%AD%A4%E9%AB%98%E3%81%AE%E8%8A%B1%2Caps%2C210&sr=8-1&linkCode=ll2&tag=poupe-22&linkId=84d0890c3fce0bbdf1f6c7f4db4384f8&language=ja_JP&ref_=as_li_ss_tl,"ラブコメ, 仲間, 友情, 陰謀, 俳優"
風月変,https://poupe.hatenadiary.jp/search?q=%A8%08%09,,"秘密, 泣ける, 笑える, コメディ, イケメン"
桜桃琥珀,https://poupe.hatenadiary.jp/search?q=%5C%43%25%C0,,"仲間, 切ない, 俳優, 中国ドラマ, 華流"
琉璃,https://poupe.hatenadiary.jp/search?q=%09%83,https://www.amazon.co.jp/gp/video/detail/B0B6TCL2HH?sr=1-2&pageTypeIdSource=ASIN&pageTypeId=B0B6T8RT8G&qid=1765528539008&linkCode=ll2&tag=poupe-22&linkId=ca2d77197e8def58ad079cf5030de40c&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, ホラー, 仲間, 転生, 秘密, 甘い"
